data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2024,220938049,185812793,35A,C,25,,
2024,233107461,196360204,13A,C,35,,
2024,220938070,185812813,35A,C,25,,
2024,233107066,196359842,23F,C,26,,
2024,220938032,185812777,35A,C,25,,
2024,220938040,185812784,35A,C,25,,
2024,220938050,185812794,35A,C,25,,
2024,233107154,196359918,23C,C,17,,
2024,220939292,185813888,23C,C,24,,
2024,227560770,191547331,240,C,35,,
2024,220939351,185813946,13C,C,35,,
2024,220939399,185813981,240,C,41,,
2024,220939400,185813981,290,C,25,,
2024,220939436,185814019,35A,C,25,,
2024,220939437,185814019,35B,C,25,,
2024,220939470,185814049,35A,C,25,,
2024,220939471,185814049,35B,C,25,,
2024,220939518,185814094,35A,C,25,,
2024,220939519,185814094,35B,C,25,,
2024,220939546,185814122,35A,C,25,,
2024,220939547,185814122,35B,C,25,,
2024,220938074,185812816,23H,C,41,,
2024,227560839,191547396,26F,C,35,,
2024,220938082,185812824,23C,C,24,,
2024,220938086,185812828,23D,C,14,,
2024,227560814,191547372,35A,C,25,,
2024,220938095,185812836,23F,C,35,,
2024,220938099,185812840,35A,C,25,,
2024,220938103,185812844,35A,C,25,,
2024,220938104,185812844,35B,C,25,,
2024,220938112,185812851,35A,C,25,,
2024,227560939,191547483,290,C,35,,
2024,220938153,185812885,35A,C,25,,
2024,220938162,185812892,290,C,33,,
2024,227560870,191547423,35A,C,25,,
2024,220938089,185812831,35A,C,25,,
2024,220938097,185812839,23H,C,98,,
2024,220938111,185812850,23C,C,14,,
2024,220938122,185812859,35A,C,25,,
2024,220938130,185812866,23D,C,6,,
2024,220938146,185812880,13C,C,37,,
2024,227558601,191545346,220,C,14,,F
2024,227558674,191545412,35A,C,25,,
2024,220938121,185812858,35A,C,25,,
2024,220938127,185812864,35A,C,25,,
2024,220938136,185812872,23F,C,35,,
2024,227558717,191545448,290,C,1,,
2024,227558742,191545467,250,C,25,,
2024,227558743,191545467,290,C,26,,
2024,227558770,191545490,23C,C,24,,
2024,227558771,191545490,35A,C,24,,
2024,227558798,191545516,240,C,35,,
2024,227558820,191545537,35A,C,25,,
2024,227558849,191545562,23C,C,14,,
2024,227558618,191545360,35A,C,25,,
2024,227558619,191545360,35B,C,25,,
2024,227560651,191547223,35A,C,25,,
2024,227560652,191547223,35B,C,25,,
2024,227560723,191547286,35A,C,25,,
2024,227560775,191547336,35A,C,25,,
2024,227560776,191547336,35B,C,25,,
2024,227560818,191547376,23G,C,35,,
2024,227560862,191547417,35A,C,25,,
2024,227560946,191547489,35A,C,25,,
2024,227561001,191547543,23D,C,35,,
2024,227561075,191547613,290,C,44,,
2024,227558677,191545416,23H,C,35,,
2024,227558814,191545532,13C,C,23,,
2024,227558848,191545560,13B,C,35,,
2024,227558866,191545577,35A,C,25,,
2024,227558900,191545606,13C,C,33,,
2024,227558935,191545638,13B,C,35,,
2024,227558976,191545674,220,C,34,1,N
2024,227558750,191545477,35A,C,25,,
2024,227558780,191545498,35A,C,25,,
2024,227558865,191545574,220,C,35,,N
2024,227558892,191545599,35A,C,25,,
2024,227558926,191545631,35A,C,25,,
2024,227558927,191545631,35B,C,25,,
2024,227558972,191545670,35A,C,25,,
2024,227559041,191545733,35A,C,25,,
2024,227559091,191545777,23H,C,35,,
2024,227558779,191545499,35A,C,25,,
2024,227558803,191545520,23C,C,14,,
2024,233107196,196359958,11B,C,35,,
2024,227558961,191545662,220,C,11,,F
2024,227559011,191545705,290,C,11,,
2024,227559048,191545739,23C,C,24,,
2024,227558782,191545500,23C,C,24,,
2024,227558802,191545519,220,C,34,1,F
2024,227558826,191545542,220,C,34,1,F
2024,227558851,191545564,220,C,34,1,F
2024,227558867,191545578,220,C,34,1,F
2024,227558891,191545598,23H,C,35,,
2024,227558921,191545626,35B,C,14,,
2024,227558957,191545660,35A,C,28,,
2024,227559000,191545696,23F,C,35,,
2024,227559038,191545731,35A,C,25,,
2024,227559039,191545731,35B,C,25,,
2024,227559066,191545755,35A,C,33,,
2024,227558817,191545535,23C,C,24,,
2024,227558846,191545559,23C,C,24,,
2024,227558875,191545583,23C,C,14,,
2024,227559008,191545702,23B,C,25,,
2024,227559073,191545754,220,C,35,,F
2024,227559131,191545815,23H,C,11,,
2024,227559194,191545868,35A,C,25,,
2024,227559287,191545953,35A,C,25,,
2024,227559288,191545953,35B,C,25,,
2024,227558855,191545567,220,C,35,,N
2024,227558880,191545587,13C,C,44,,
2024,227559355,191546015,35A,C,25,,
2024,227559391,191546048,23F,C,35,,
2024,227558869,191545581,26F,C,35,,
2024,227558902,191545609,23F,C,35,,
2024,227558932,191545634,13C,C,35,,
2024,227558933,191545634,220,C,35,,N
2024,227558959,191545661,35A,C,25,,
2024,227558960,191545661,35B,C,25,,
2024,230341271,193965675,220,C,35,,N
2024,227559031,191545725,240,C,11,,
2024,227559069,191545758,220,C,35,,F
2024,230341024,193965455,23H,C,41,,
2024,227559127,191545811,35A,C,25,,
2024,227558652,191545387,120,C,98,,
